职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
中小学-学科全职老师,4-9K,学历不限,经验不限,京学状才,石家庄,学前教育,0-20人,,裕华区,天山海世界,38.039512,114.615767,培训机构 线下教育 坐班 小班教学（3-25人） 中学生 学前儿童/小学生 学科应试类 数学 英语 语文,[],月薪,6500.0
教师岗（不限专业、教资、经验长短）,8-13K,本科,经验不限,新东方华南区,东莞,培训/辅导机构,10000人以上,已上市,东城街道,东宝路,23.032551,113.775695,培训机构 线下教育 坐班 教师 一对一教学 小班教学（3-25人）,"['节日福利', '有无线网', '团建聚餐', '员工旅游', '餐补', '零食下午茶', '绩效奖金', '带薪年假', '五险一金', '定期体检', '生日福利', '工龄奖']",月薪,10500.0
各科教师五险双休（可兼职）,5-10K,大专,经验不限,书途教育,石家庄,培训/辅导机构,20-99人,未融资,长安区,育才,38.050645,114.530783,全职 兼职 培训机构 线下教育 坐班 不坐班 一对一教学 小班教学（3-25人） 中学生 学前儿童/小学生 学科应试类 特长兴趣类 数学 英语 语文 普通话发音标准 外语发音标准 大型教育机构经验 双休 五险 高薪,"['带薪年假', '全勤奖', '员工旅游', '通讯补贴', '有无线网', '年终奖', '底薪加提成', '保底工资', '交通补助', '五险一金', '免费工装', '节日福利', '绩效奖金']",月薪,7500.0
少儿英语老师/English teacher,12-18K,本科,经验不限,乐猴,北京,培训/辅导机构,20-99人,,朝阳区,草房,39.929872,116.608159,教研 外教 学科应试（小初高） 英语 教育培训 线下授课 全职,[],月薪,15000.0
（五险一金 带薪休假）全职英语教师,4-9K,本科,1-3年,锐思教育,石家庄,培训/辅导机构,1000-9999人,未融资,新华区,新华路,38.053054,114.461187,学科应试（小初高）,"['零食下午茶', '月度福利', '带薪年假', '五险一金', '年终奖', '员工旅游', '节日福利']",月薪,6500.0
高薪高福利无销售压力初中教师岗,10-13K,初中及以下,1-3年,济宁市任城区儒行...,济宁,培训/辅导机构,20-99人,,兖州区,贵和,35.556427,116.817017,无,"['团建聚餐', '年终奖', '工龄奖', '保底工资', '零食下午茶', '节日福利', '绩效奖金', '通讯补贴', '包住', '全勤奖', '员工旅游', '底薪加提成', '五险一金', '带薪年假', '宿舍有空调']",月薪,11500.0
想不出来了，中医针灸教师,7-11K,学历不限,经验不限,道中,石家庄,互联网,1000-9999人,,桥西区,维明,38.031222,114.483555,其他 无销售性质,[],月薪,9000.0
体育教师,5-8K,本科,在校/应届,恩铭教育Ai智能自习室,石家庄,人工智能,0-20人,,,,38.223867,114.582866,课程销售 培训机构 线下教育 教学管理 一级教师 二级甲等 三级教师 全职 学习顾问 初中生 坐班 二级教师 初中 教师资格证书 学前儿童/小学生 小学 一对一教学,[],月薪,6500.0
东丰校区教师岗讲师,3-7K,本科,1-3年,海岸教育,辽源,培训/辅导机构,20-99人,未融资,东丰县,正泰明珠购物广场,42.676372,125.529199,全职 培训机构 线下教育 坐班 成人 职业与技能培训类,"['加班补助', '保底工资', '五险一金']",月薪,5000.0
兼职小学教师,4-5K,大专,经验不限,裕华世纪信息咨询...,石家庄,家政服务,0-20人,,裕华区,建华,38.015841,114.535627,兼职 全职 线下教育 不住家 不坐班 陪读 学前儿童/小学生 教育行业工作经验 普通话发音标准 语言类专业背景,"['年终奖', '意外险', '五险一金']",月薪,4500.0
